customer_id,age,gender,tenure,monthly_charges,total_charges,contract_type,payment_method,calls_made,data_used_gb,international_calls,customer_support_calls,churn
58,24,Female,29,47.14,4027.01,Month-to-Month,Electronic Check,297,17.28,9,0,0
59,38,Female,38,88.37,1729.25,Month-to-Month,Electronic Check,117,36.3,6,8,0
60,26,Female,33,117.94,820.3,Month-to-Month,Mailed Check,319,37.13,7,7,0
61,56,Male,29,37.72,4379.92,Month-to-Month,Electronic Check,257,11.16,5,8,1
62,35,Male,23,52.6,1139.44,Month-to-Month,Mailed Check,275,19.73,8,0,0
63,21,Male,3,74.19,1540.75,Month-to-Month,Credit Card,254,43.63,2,5,0
64,42,Female,45,37.02,3562.29,Two Year,Electronic Check,194,37.27,8,5,0
65,77,Male,8,22.22,3449.4,Two Year,Bank Transfer,141,8.96,8,8,0
66,31,Female,29,53.7,4021.96,One Year,Credit Card,187,19.91,8,1,0
67,67,Male,2,106.54,1000.95,Month-to-Month,Mailed Check,66,48.69,5,0,0
68,75,Female,50,24.35,1826.17,Month-to-Month,Credit Card,51,26.74,8,1,0
69,26,Male,65,62.89,716.83,Month-to-Month,Credit Card,299,36.25,6,5,0
70,43,Female,20,96.22,2751.09,Month-to-Month,Mailed Check,370,5.51,7,6,1
71,70,Male,52,115.32,1533.6,Month-to-Month,Electronic Check,168,41.79,7,6,1
72,19,Male,37,118.55,3475.78,Month-to-Month,Electronic Check,246,30.63,7,2,0
73,37,Male,27,62.2,101.69,Month-to-Month,Bank Transfer,263,9.6,2,3,0
74,45,Female,47,115.04,392.45,One Year,Electronic Check,156,19.63,5,2,0
75,64,Male,6,23.54,2219.55,One Year,Mailed Check,257,5.07,6,8,1
76,77,Male,60,94.59,4795.1,Month-to-Month,Mailed Check,166,39.07,3,2,1
77,24,Male,45,84.27,4465.17,One Year,Mailed Check,58,37.5,3,9,1
78,61,Male,44,44.95,4970.64,Month-to-Month,Electronic Check,191,25.02,6,5,0
79,78,Female,18,70.73,2142.47,Month-to-Month,Mailed Check,379,23.15,1,5,0
80,25,Male,65,32.96,328.19,Month-to-Month,Electronic Check,71,23.71,7,4,0
81,64,Female,25,107.16,1599.19,One Year,Mailed Check,321,2.84,5,4,0
82,52,Female,27,55.79,3411.28,Month-to-Month,Mailed Check,218,19.04,8,7,0
83,31,Female,7,82.6,762.3,Month-to-Month,Electronic Check,244,7.3,4,8,0
84,34,Female,44,35.88,1569.86,Month-to-Month,Bank Transfer,143,10.05,9,7,0
85,53,Male,29,40.62,375.21,Month-to-Month,Bank Transfer,242,48.14,9,7,1
86,67,Female,44,119.2,2427.34,Month-to-Month,Bank Transfer,391,13.83,0,9,0
87,57,Female,36,95.31,1123.71,One Year,Electronic Check,337,24.7,6,2,0
88,21,Female,19,116.2,547.12,Month-to-Month,Mailed Check,229,44.5,3,5,0
89,19,Female,6,49.59,2114.96,One Year,Electronic Check,316,21.26,9,8,0
90,79,Male,25,36.46,1821,Month-to-Month,Credit Card,69,26.9,3,4,0
91,23,Male,31,70.31,2733.84,Month-to-Month,Credit Card,389,9.27,2,3,0
92,71,Female,9,69.47,3770.29,One Year,Electronic Check,274,14.97,4,8,0
93,59,Female,37,37.49,651.59,Month-to-Month,Credit Card,218,25.8,5,4,0
94,21,Female,27,93.32,3976.52,Month-to-Month,Bank Transfer,372,18.88,2,5,1
95,71,Male,13,56.18,228.82,Month-to-Month,Bank Transfer,93,2.87,7,6,0
96,46,Male,41,38.64,2271.2,One Year,Bank Transfer,237,20.64,1,7,1
97,35,Male,66,53.2,2978.41,One Year,Credit Card,144,40.94,6,2,0
98,43,Male,24,76.37,4789.29,Month-to-Month,Bank Transfer,184,6.69,0,0,1
99,61,Male,44,92.65,2912.22,Month-to-Month,Bank Transfer,143,1.92,8,9,0
100,51,Female,60,68.19,877.87,One Year,Bank Transfer,103,6.82,8,4,0
101,27,Male,9,72.56,2635.95,Month-to-Month,Electronic Check,131,34.66,4,8,1
102,79,Male,2,33.89,2039.34,Month-to-Month,Mailed Check,318,39.94,1,8,0
103,53,Female,56,111.47,2448.84,One Year,Mailed Check,338,3.39,5,3,0
104,31,Male,30,112.87,1065.78,One Year,Electronic Check,184,44.49,9,2,0
105,48,Male,22,88.34,2554.05,Month-to-Month,Bank Transfer,207,31.74,4,4,0
106,65,Male,13,21.76,835.19,One Year,Bank Transfer,316,26.39,3,1,1
107,32,Female,71,73.71,3745.81,Month-to-Month,Electronic Check,375,13.43,1,1,0
108,25,Male,16,82.92,3010.14,One Year,Electronic Check,326,19.21,4,5,1
109,31,Female,45,119.47,484.79,Month-to-Month,Credit Card,337,47.4,7,4,1
110,40,Female,65,119.61,4459.11,Month-to-Month,Electronic Check,182,45.67,1,8,0
111,77,Male,11,105.76,3120.26,Month-to-Month,Bank Transfer,398,31.65,6,3,0
112,74,Male,70,26.38,1648.92,Month-to-Month,Electronic Check,84,29.37,2,0,1
113,79,Male,20,115.33,323.65,Month-to-Month,Bank Transfer,300,11.32,5,9,0
114,57,Male,63,81.27,3197.91,One Year,Credit Card,96,47.71,3,5,0
115,38,Female,12,100.09,1929.86,Month-to-Month,Electronic Check,317,38.01,5,7,0
116,33,Male,62,60.72,4547.33,One Year,Credit Card,342,19.73,1,6,0
117,62,Female,42,51.97,270.9,Month-to-Month,Bank Transfer,93,40.98,9,2,1
118,35,Female,69,66.32,291.6,One Year,Bank Transfer,327,11.38,4,3,0
119,64,Female,58,34.69,4751.57,Month-to-Month,Bank Transfer,188,11.45,1,9,0
120,70,Female,5,55.71,4827.88,Month-to-Month,Bank Transfer,392,39.76,7,4,0
121,41,Female,27,105.76,235.94,Month-to-Month,Credit Card,360,28.41,8,2,0
122,43,Male,28,23.8,3608.56,Month-to-Month,Electronic Check,286,28.24,7,7,0
123,42,Female,26,35.09,1185.32,Month-to-Month,Electronic Check,315,29.11,0,8,0
124,77,Female,49,32.51,3536.82,Month-to-Month,Bank Transfer,219,7.16,4,6,0
125,77,Male,21,60.31,4356.79,Two Year,Bank Transfer,265,18.13,3,7,0
126,77,Male,1,119.7,594.07,One Year,Credit Card,166,29.08,3,1,0
127,62,Female,58,37.34,1269.96,One Year,Credit Card,287,13.13,6,9,0
128,58,Female,55,34.55,217.98,Month-to-Month,Bank Transfer,305,25.7,9,2,0
129,46,Male,26,111.51,314.77,One Year,Bank Transfer,293,28.29,9,3,0
130,32,Female,25,108.21,245.13,Month-to-Month,Electronic Check,385,47.2,3,9,0
131,62,Male,33,23.22,4023.34,Month-to-Month,Electronic Check,381,13.04,0,1,0
132,18,Male,69,95.17,1561.63,Month-to-Month,Electronic Check,137,22.53,2,2,0
133,42,Female,6,85.55,2516.74,Month-to-Month,Bank Transfer,283,49.09,7,7,0
134,24,Male,23,96.77,3960.44,Month-to-Month,Mailed Check,146,10.15,9,9,1
135,26,Female,30,69.45,2525.22,Month-to-Month,Credit Card,67,39.22,6,6,0
136,41,Female,54,119.14,2203.06,Month-to-Month,Credit Card,160,9.68,1,5,1
137,18,Female,11,24.38,156.71,One Year,Credit Card,258,42.65,6,5,0
138,61,Male,31,43.44,2883.39,Two Year,Bank Transfer,390,24.91,1,1,0
139,25,Female,6,59.65,711.24,Month-to-Month,Bank Transfer,114,48.64,5,7,0
140,41,Male,11,64.98,3846.78,Month-to-Month,Credit Card,172,9.33,7,5,1
141,28,Female,12,112.14,1362.91,One Year,Credit Card,287,34.71,2,4,0
142,68,Female,66,76,3403.52,Month-to-Month,Credit Card,172,35.07,2,9,1
143,34,Male,53,24.51,3266.5,Two Year,Bank Transfer,336,36.22,7,4,0
144,25,Female,36,60.79,3121.71,One Year,Mailed Check,267,5.95,7,1,0
145,52,Female,17,61.65,1408.06,Month-to-Month,Mailed Check,271,15.14,9,1,0
146,52,Male,28,116.55,1408.74,Month-to-Month,Mailed Check,394,17.56,5,6,1
147,50,Male,22,79.92,4328.94,Two Year,Electronic Check,162,16.89,0,4,0
148,76,Male,7,83.57,162.76,Two Year,Electronic Check,67,34.08,2,6,0
149,22,Female,15,91.33,989.46,Month-to-Month,Bank Transfer,268,3.69,9,7,0
150,59,Male,11,97,3089.84,Month-to-Month,Mailed Check,210,36.77,6,3,0
151,56,Male,24,83.51,4103.53,One Year,Mailed Check,119,26.8,1,4,0
152,75,Female,67,43.72,1855.89,Month-to-Month,Electronic Check,56,9.48,8,0,0
153,58,Male,30,107.4,3301.87,Two Year,Mailed Check,50,12.08,8,5,0
154,45,Female,70,93.21,2830.07,One Year,Credit Card,148,5.78,1,0,0
155,24,Female,66,94.19,416.25,One Year,Electronic Check,136,23.49,5,2,0
156,26,Male,61,119.66,3146.58,Month-to-Month,Credit Card,129,30.15,1,9,0
157,25,Female,41,100.25,4088.13,One Year,Mailed Check,364,29.47,0,2,0
158,29,Male,51,102.92,4963,Month-to-Month,Bank Transfer,83,48.16,9,6,1
159,51,Male,44,115.14,245.24,Month-to-Month,Mailed Check,275,15.5,8,9,0
160,50,Male,13,35.11,3334.29,Month-to-Month,Bank Transfer,272,38.34,4,1,0
161,65,Male,12,69.77,2131.29,Month-to-Month,Credit Card,229,36.43,0,8,0
162,72,Female,9,78.06,147.96,One Year,Credit Card,57,4.01,6,3,0
163,40,Female,48,52.93,3110.37,One Year,Mailed Check,292,46.57,2,5,1
164,79,Male,49,103.94,699.89,Month-to-Month,Electronic Check,137,46.63,5,5,0
165,41,Male,53,96.24,1954.98,Month-to-Month,Credit Card,358,20.42,3,1,0
166,54,Female,56,92.09,1380.7,Month-to-Month,Bank Transfer,192,21.47,2,9,0
167,52,Male,40,119.71,1869.7,Month-to-Month,Bank Transfer,77,41.16,5,3,0
168,61,Female,24,45.94,2514.21,One Year,Electronic Check,191,25.26,7,1,1
169,57,Male,33,93.55,1860.13,Month-to-Month,Mailed Check,139,40.16,5,9,1
170,39,Female,23,75.14,2808.39,Two Year,Credit Card,235,2.77,5,0,0
171,44,Female,54,51.3,1269.38,One Year,Mailed Check,362,13.26,4,9,0
172,52,Female,53,36.06,3213.27,Month-to-Month,Credit Card,229,5.46,4,6,0
173,18,Male,49,109.59,4283.44,Month-to-Month,Mailed Check,86,23.26,0,4,0
174,52,Male,49,79.55,1197.93,Month-to-Month,Electronic Check,51,42.85,3,4,0
175,54,Male,60,102.49,2588.6,Month-to-Month,Bank Transfer,83,28.92,7,2,0
176,64,Male,65,74.53,3278.58,Month-to-Month,Mailed Check,363,26.5,5,0,0
177,31,Male,32,42,2866.67,Month-to-Month,Mailed Check,275,18.94,6,2,0
178,20,Female,21,53.75,1891.68,Two Year,Credit Card,122,4.12,8,8,0
179,18,Female,18,58.15,3246.78,Month-to-Month,Mailed Check,165,38.55,7,3,1
180,22,Female,60,117.29,238.41,One Year,Mailed Check,163,28.97,3,4,0
181,43,Female,13,20.56,1912.54,Month-to-Month,Electronic Check,79,46.62,6,5,0
182,72,Female,24,118.57,2709.8,Month-to-Month,Mailed Check,132,22.17,2,8,0
183,31,Female,30,118.05,201,Month-to-Month,Electronic Check,257,20.67,4,4,0
184,56,Female,2,119.62,2587.48,Month-to-Month,Electronic Check,156,48.74,2,6,1
185,44,Male,25,67.66,3305.85,Month-to-Month,Electronic Check,364,7.92,6,8,0
186,26,Female,50,116.38,3820.12,One Year,Credit Card,235,13.37,2,0,1
187,32,Male,14,59.56,655.53,Month-to-Month,Electronic Check,201,24.92,7,1,0
188,32,Female,6,22.63,4953.77,One Year,Credit Card,199,26.65,9,4,0
189,43,Female,30,42.43,3070.22,One Year,Bank Transfer,209,27.89,7,4,0
190,59,Male,30,114.53,1879.65,One Year,Electronic Check,124,11.39,5,8,0
191,77,Female,38,21.38,1320.55,One Year,Mailed Check,398,46.42,8,6,1
192,30,Male,58,74.6,2907.19,Month-to-Month,Electronic Check,219,35.47,1,9,1
193,68,Female,41,27.56,4420.39,Two Year,Bank Transfer,236,13.66,5,8,0
194,49,Male,57,48.64,2650.77,Two Year,Electronic Check,393,15.42,3,6,1
195,56,Female,36,28.81,3341.21,One Year,Credit Card,388,44.14,6,5,0
196,66,Male,64,105.95,1852.71,Month-to-Month,Bank Transfer,360,19.64,0,5,1
197,69,Male,16,79.11,2001.95,Month-to-Month,Bank Transfer,218,28.26,3,0,0
198,78,Female,14,110.21,1502.26,One Year,Credit Card,362,6.9,9,6,1
199,49,Female,31,88.84,3557.62,One Year,Credit Card,102,13.33,3,3,1
200,21,Male,66,117.1,1860.02,One Year,Mailed Check,306,21.41,5,9,1
201,47,Female,68,70.99,1034.51,One Year,Bank Transfer,109,33.15,9,2,0
202,54,Male,65,83.87,1910.06,Month-to-Month,Electronic Check,271,14.73,5,0,0
203,40,Female,55,77.63,4283.75,Month-to-Month,Credit Card,125,47.59,5,6,0
204,56,Male,40,68.43,3717.44,One Year,Mailed Check,95,11.79,3,9,0
205,62,Female,25,104.6,1739.74,Month-to-Month,Credit Card,309,39.17,4,8,1
206,32,Male,25,84.45,4543.36,One Year,Credit Card,64,18.87,7,0,0
207,60,Female,3,100.13,466.68,One Year,Mailed Check,386,41.84,2,1,0
208,46,Male,69,98.64,343.79,Month-to-Month,Bank Transfer,165,46.23,5,9,0
209,53,Male,26,39.1,724.6,Month-to-Month,Electronic Check,61,10.16,0,3,0
210,30,Female,40,85.02,670.63,One Year,Credit Card,50,25.08,9,8,0
211,49,Female,38,39.96,530.39,Month-to-Month,Bank Transfer,126,8.56,5,9,0
212,24,Male,38,78.33,3340.58,Month-to-Month,Mailed Check,79,35.59,8,7,0
213,76,Male,68,87.74,3044.13,One Year,Mailed Check,251,41.78,7,0,0
214,68,Male,7,119.72,3273.27,One Year,Mailed Check,378,20.08,4,3,1
215,39,Male,30,23.05,3472.99,One Year,Bank Transfer,99,20.44,6,8,0
216,45,Female,19,29.12,3808.71,Month-to-Month,Electronic Check,179,10.99,4,1,1
217,19,Male,35,27.7,1115.17,Month-to-Month,Bank Transfer,55,16.02,2,1,0
218,59,Male,33,59.84,3149.29,One Year,Bank Transfer,124,16.87,8,5,0
219,62,Male,33,102.16,2942.24,Month-to-Month,Mailed Check,395,8.62,6,5,0
220,79,Female,38,104.41,4723.93,Month-to-Month,Credit Card,397,16.19,7,5,0
221,74,Male,10,93.7,1238.6,Month-to-Month,Credit Card,382,45.46,6,9,1
222,70,Female,57,109.69,387.74,Month-to-Month,Mailed Check,215,16.94,6,0,0
223,23,Female,28,52.29,3302.13,Month-to-Month,Credit Card,381,14.45,7,8,0
224,45,Female,38,28.82,3726.85,Month-to-Month,Mailed Check,388,19.85,7,1,0
225,45,Female,16,25.82,1487.66,Month-to-Month,Bank Transfer,323,48.05,5,6,0
226,61,Female,21,105.21,2897.16,Two Year,Mailed Check,205,38.46,3,0,1
227,61,Female,6,93.04,391.73,Month-to-Month,Electronic Check,317,10.89,4,0,0
228,37,Female,41,89.86,4804.22,Month-to-Month,Electronic Check,357,37.88,5,8,1
229,47,Male,15,53.97,638.63,Month-to-Month,Electronic Check,254,38.55,8,6,1
230,79,Male,3,57.99,431.1,Month-to-Month,Bank Transfer,293,47.56,4,4,1
231,28,Female,43,115.81,316.14,Two Year,Credit Card,136,44.66,8,9,0
232,75,Male,47,26.38,2193.63,One Year,Bank Transfer,149,5.66,8,2,0
233,72,Male,14,97.37,576.08,One Year,Credit Card,235,23.27,7,7,1
234,45,Female,66,50.96,3748.78,One Year,Bank Transfer,271,35.45,9,0,1
235,42,Male,29,23.91,4504.48,Two Year,Bank Transfer,327,48.7,5,7,0
236,56,Female,4,94.26,1375.07,Month-to-Month,Electronic Check,222,5.17,0,3,0
237,79,Male,26,53.09,3180.99,Month-to-Month,Bank Transfer,367,19.04,4,1,1
238,50,Female,12,92.21,307.46,Month-to-Month,Electronic Check,91,25.12,2,6,0
239,18,Female,2,90.77,1994.17,Month-to-Month,Bank Transfer,116,21.25,8,3,0
240,74,Male,17,73.48,1535.42,One Year,Mailed Check,241,23.33,3,3,1
241,44,Male,35,97.74,1220.23,Month-to-Month,Electronic Check,192,19.09,6,5,0
242,79,Female,10,78.1,3259.15,One Year,Mailed Check,203,48.56,5,1,0
243,74,Female,43,48.66,738.12,Month-to-Month,Bank Transfer,143,40.36,5,4,1
244,69,Female,21,93.41,4317.48,Month-to-Month,Bank Transfer,246,37.1,4,8,0
245,30,Male,15,78.91,3357.7,Month-to-Month,Mailed Check,144,21.12,0,2,0
246,58,Male,35,21.27,3582.6,One Year,Credit Card,298,44.19,2,3,0
247,20,Male,60,110.16,4683.19,One Year,Credit Card,71,5.57,4,2,0
248,56,Male,44,74.56,4717.63,Two Year,Credit Card,103,8.03,1,6,0
249,23,Female,5,106.86,2803.1,One Year,Bank Transfer,174,47.75,1,2,0
250,25,Female,18,108.27,2527.36,Month-to-Month,Credit Card,363,28.78,3,6,0
251,44,Female,21,64.5,1743.37,Month-to-Month,Credit Card,256,8.81,6,4,0
252,26,Female,51,70.77,3606.3,One Year,Bank Transfer,230,47.51,0,2,1
253,79,Male,41,61.58,2737.22,One Year,Bank Transfer,324,48.77,8,0,1
254,54,Female,24,64.94,4671.09,Month-to-Month,Credit Card,211,44.19,0,4,0
255,50,Female,24,109.51,1269.27,Month-to-Month,Credit Card,327,12.69,7,8,0
256,68,Male,38,98.81,1620.24,Month-to-Month,Mailed Check,190,14.65,5,9,0
257,59,Male,44,32.65,1648.84,Month-to-Month,Bank Transfer,172,20.94,0,3,0
258,61,Female,57,81.03,4049.39,Two Year,Bank Transfer,241,29.39,6,8,0
259,41,Male,59,119.59,585.3,One Year,Mailed Check,105,49.62,1,9,1
260,32,Female,34,79.56,2332.68,Month-to-Month,Electronic Check,347,47.85,0,2,1
261,76,Male,23,98.59,2195.15,Month-to-Month,Electronic Check,296,46.14,7,7,0
262,71,Male,43,96.91,458.38,One Year,Bank Transfer,371,5.37,1,4,1
263,49,Female,40,55.03,2112.91,One Year,Bank Transfer,240,38.1,8,5,0
264,49,Male,47,57.18,2615.55,Month-to-Month,Credit Card,219,43.97,5,3,1
265,41,Female,41,92.41,419.01,One Year,Electronic Check,268,17.33,0,5,0
266,58,Male,47,70,2598.32,One Year,Credit Card,83,11.76,7,2,1
267,69,Male,20,77.06,4800.27,Month-to-Month,Electronic Check,334,37.67,6,6,0
268,66,Male,65,91.29,4896.68,Two Year,Mailed Check,85,5.45,0,3,0
269,79,Male,68,97.76,2705.23,Month-to-Month,Credit Card,314,47.1,7,4,1
270,66,Male,24,47.15,2623.97,Month-to-Month,Mailed Check,390,8.65,1,5,1
271,75,Female,36,34.68,1498.99,Month-to-Month,Mailed Check,347,23.42,7,4,0
272,69,Male,45,49.18,4985.87,Month-to-Month,Electronic Check,277,49.16,8,1,0
273,29,Female,2,70.75,1443.72,Month-to-Month,Bank Transfer,116,49.42,4,3,0
274,79,Male,28,54.21,2319.22,One Year,Bank Transfer,56,39.02,4,7,0
275,56,Female,26,76.84,114.38,Month-to-Month,Mailed Check,72,42.12,6,7,0
276,19,Male,23,25.35,1811.24,One Year,Bank Transfer,72,48.39,0,6,0
277,20,Female,36,70.98,450.06,One Year,Credit Card,321,46.44,4,9,0
278,66,Female,6,56.8,3744.74,Month-to-Month,Electronic Check,118,31.48,0,1,0
279,54,Male,35,73.47,2848.97,Month-to-Month,Credit Card,62,37,7,3,0
280,66,Male,38,62.25,2903.64,Month-to-Month,Bank Transfer,315,30.1,7,8,0
281,73,Male,35,48.42,1503.91,Month-to-Month,Mailed Check,297,25.82,0,5,0
282,34,Female,53,110.41,4092.99,Month-to-Month,Electronic Check,108,44.16,1,7,1
283,76,Female,38,38.48,116.03,Month-to-Month,Mailed Check,307,37.16,6,8,0
284,66,Male,59,88.14,1734.65,Month-to-Month,Electronic Check,257,43.13,6,4,0
285,19,Male,43,112.46,3331.54,Month-to-Month,Credit Card,178,5.7,8,4,0
286,19,Female,4,73.87,4548.82,Month-to-Month,Bank Transfer,247,29.25,2,8,0
287,45,Female,5,107.64,1249.62,One Year,Credit Card,359,17.15,1,5,0
288,71,Male,68,32.49,2751.39,Month-to-Month,Mailed Check,324,26.16,9,6,1
289,40,Female,45,69.38,2736.16,Month-to-Month,Credit Card,146,31.04,7,7,0
290,54,Male,25,65.7,4383.45,Month-to-Month,Bank Transfer,77,42.44,6,7,0
291,49,Male,11,20.81,347.53,Month-to-Month,Bank Transfer,182,2.56,2,2,0
292,50,Male,29,64.33,2179.93,One Year,Credit Card,381,9.04,2,4,0
293,18,Female,34,56.9,994.08,Month-to-Month,Electronic Check,324,46.15,6,0,0
294,36,Female,14,86.98,205.51,Month-to-Month,Bank Transfer,153,48.4,4,2,0
295,79,Female,24,113.83,820.45,Month-to-Month,Bank Transfer,91,3.72,8,1,0
296,19,Female,59,28.58,4884.71,Month-to-Month,Bank Transfer,202,17.26,9,9,1
297,70,Male,39,52.75,1152.76,Month-to-Month,Bank Transfer,340,1.48,6,1,0
298,61,Female,26,64.41,4681.65,Month-to-Month,Electronic Check,58,38.11,0,1,1
299,43,Male,43,65.52,1105.75,Month-to-Month,Electronic Check,273,34.42,0,0,1
300,49,Male,36,97.48,4663.35,Month-to-Month,Mailed Check,88,28.68,5,5,0
301,23,Male,39,64.34,3307.64,Two Year,Mailed Check,87,34.89,4,3,0
302,49,Female,61,22.72,654.77,Month-to-Month,Mailed Check,320,27.35,4,9,1
303,72,Male,16,91.01,2951.38,Month-to-Month,Credit Card,158,12.7,7,1,0
304,21,Male,59,108.48,1660.72,One Year,Credit Card,395,37.96,7,4,0
305,72,Female,6,71.39,1977.45,One Year,Mailed Check,109,39.38,8,1,0
306,28,Male,56,78.11,2256.84,One Year,Bank Transfer,111,42.86,3,7,0
307,73,Female,8,36.29,2171.26,One Year,Mailed Check,80,47.75,4,3,1
308,76,Female,27,42.06,3354.13,Month-to-Month,Credit Card,79,37.63,6,4,1
309,34,Female,71,43.52,3865,Month-to-Month,Electronic Check,115,3.67,2,7,0
310,55,Male,27,63.07,1712.97,One Year,Bank Transfer,312,2.02,5,5,0
311,41,Female,46,112.81,4629.38,One Year,Bank Transfer,207,37.25,2,0,0
312,22,Female,41,72.18,4698.48,Month-to-Month,Bank Transfer,210,3.75,3,5,0
313,69,Female,25,39.21,299.38,Month-to-Month,Credit Card,160,16.48,9,0,0
314,51,Female,18,46.61,173.05,One Year,Bank Transfer,87,7.67,7,5,1
315,23,Male,12,58.4,2182.83,Month-to-Month,Bank Transfer,261,48.48,9,6,0
316,39,Female,51,82.33,2994.16,Two Year,Electronic Check,186,16.5,3,5,1
317,28,Male,39,64,1461.73,Month-to-Month,Bank Transfer,391,3.7,3,3,0
318,65,Female,10,59.24,1371.13,One Year,Credit Card,207,47.53,6,3,0
319,33,Male,54,76.47,3423.84,Month-to-Month,Bank Transfer,183,30.83,2,1,1
